City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,Shenjiamen,29.9576,122.298,70.79,86,85,10.22,CN,1668130713
169,Mar del Plata,-38.0023,-57.5575,65.08,91,0,13.0,AR,1668130713
170,Ponta Delgada,37.7333,-25.6667,60.49,82,20,2.3,PT,1668130713
171,Tuktoyaktuk,69.4541,-133.0374,19.4,93,100,8.05,CA,1668130714
172,Cananea,30.95,-110.3,47.16,65,0,4.56,MX,1668130714
173,Makkah al Mukarramah,21.4267,39.8261,76.6,69,24,1.77,SA,1668130421
174,Tikhvin,59.6451,33.5294,47.21,96,99,6.11,RU,1668130714
175,Sinnamary,5.3833,-52.95,77.58,87,14,5.86,GF,1668130715
176,Jinxiang,27.4327,120.6062,73.98,78,23,8.03,CN,1668130715
177,Nanortalik,60.1432,-45.2371,26.78,70,100,10.98,GL,1668130715
178,San Patricio,28.017,-97.5169,77.9,77,28,9.13,US,1668130716
179,Vao,-22.6667,167.4833,72.86,74,98,12.62,NC,1668130716
180,Sittwe,20.15,92.9,75.67,73,51,5.3,MM,1668130716
181,Pisco,-13.7,-76.2167,62.65,88,1,14.97,PE,1668130717
182,Great Yarmouth,52.6083,1.7305,58.41,85,100,19.71,GB,1668130717
183,Leningradskiy,69.3833,178.4167,3.29,93,100,6.4,RU,1668130717
184,Mahébourg,-20.4081,57.7,71.89,83,20,3.44,MU,1668130718
185,Kathmandu,27.7167,85.3167,53.82,87,20,3.44,NP,1668130477
186,Belmonte,-15.8631,-38.8828,75.45,91,11,7.94,BR,1668130718
187,Merced,37.1666,-120.7516,54.28,73,9,4.94,US,1668130718
188,Kruisfontein,-34.0033,24.7314,61.88,76,87,11.9,ZA,1668130718
189,Nishihara,26.1842,127.7558,78.46,88,75,16.11,JP,1668130719
190,Ugoofaaru,5.6667,73.0,81.07,72,100,6.96,MV,1668130719
191,Port Augusta,-32.5,137.7667,76.95,42,55,5.46,AU,1668130719
192,Saint-Augustin,51.226,-58.6502,33.89,70,100,6.76,CA,1668130720
193,Deder,9.3167,41.45,53.29,85,96,0.34,ET,1668130720
194,Gwanda,-20.9333,29.0,67.24,82,100,11.12,ZW,1668130460
195,Bonfim,3.0833,-59.95,77.02,81,100,6.44,BR,1668130720
196,Cockburn Town,21.4612,-71.1419,82.06,80,1,16.51,TC,1668130721
